display_name,organization,website,type_0,type_1,type_2,country,country_code,region,ror,,
Institut Català d’Arqueologia Clàssica - ICAC-CERCA (Spain),Institut Català d’Arqueologia Clàssica - ICAC-CERCA,https://icac.cat/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/04nwrc387,,
University of Tetova (North Macedonia),University of Tetova,https://unite.edu.mk,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,North Macedonia,MK,Eastern Europe,https://ror.org/01e4kx996,,
Instituto Brasileiro de Informação em Ciência e Tecnologia - Ibict (Brazil),Instituto Brasileiro de Informação em Ciência e Tecnologia - Ibict,https://www.gov.br/ibict/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Brazil,BR,Latin America,https://ror.org/006c42y96,,
Instituto Interuniversitario de Investigación Avanzada sobre Evaluación de la Ciencia y la Universidad - INAECU (Spain),Instituto Interuniversitario de Investigación Avanzada sobre Evaluación de la Ciencia y la Universidad - INAECU,https://inaecu.com,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/004aqbt71,,
Izmir Institute of Technology (Turkey),Izmir Institute of Technology,https://www.iyte.edu.tr,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Turkey,TR,MENA,https://ror.org/03stptj97,,
Knowmad Institut - European Institute for Multidisciplinary Studies on Human Rights & Sciences (Germany),Knowmad Institut - European Institute for Multidisciplinary Studies on Human Rights & Sciences,https://knowmadinstitut.org,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Germany,DE,Western Europe,https://ror.org/036egt138,,
Leibniz Association (Germany),Leibniz Association,https://www.leibniz-gemeinschaft.de,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Germany,DE,Western Europe,https://ror.org/01n6r0e97,,
Leiden University (Netherlands),Leiden University,https://www.universiteitleiden.nl/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Netherlands,NL,Western Europe,https://ror.org/027bh9e22,,
Loughborough University (United Kingdom),Loughborough University,https://www.lboro.ac.uk/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,United Kingdom,GB,Western Europe,https://ror.org/04vg4w365,,
Museo Galileo. Istituto e Museo di Storia della Scienza (Italy),Museo Galileo. Istituto e Museo di Storia della Scienza,https://www.museogalileo.it,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Italy,IT,Southern Europe,https://ror.org/056m1n765,,
Museu de Ciències Naturals de Barcelona (Spain),Museu de Ciències Naturals de Barcelona,https://museuciencies.cat/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/015hz7p22,,
Nantes Université (France),Nantes Université,https://www.univ-nantes.fr,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/03gnr7b55,,
Otto-Friedrich-Universität Bamberg (Germany),Otto-Friedrich-Universität Bamberg,https://www.uni-bamberg.de,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Germany,DE,Western Europe,https://ror.org/01c1w6d29,,
Pattern Institute (Portugal),Pattern Institute,https://www.pattern.institute,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Portugal,PT,Southern Europe,https://ror.org/04jrgd746,,
Scholarly Communications Lab (Canada),Scholarly Communications Lab,https://scholcommlab.ca,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Canada,CA,North America,,,
Scuola Normale Superiore - SNS (Italy),Scuola Normale Superiore - SNS,https://www.sns.it/it,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Italy,IT,Southern Europe,https://ror.org/03aydme10,,
Simon Fraser University (Canada),Simon Fraser University,https://www.sfu.ca,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Canada,CA,North America,https://ror.org/0213rcc28,,
Sorbonne Université (France),Sorbonne Université,https://www.sorbonne-universite.fr/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/02en5vm52,,
Spanish National Research Council - CSIC (Spain),Spanish National Research Council - CSIC,https://www.csic.es/es,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/02gfc7t72,,
Stockholm University (Sweden),Stockholm University,https://www.su.se,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Sweden,SE,Western Europe,https://ror.org/05f0yaq80,,
The Netherlands Association of Universities of Applied Sciences - Vereniging Hogescholen (Netherlands),The Netherlands Association of Universities of Applied Sciences - Vereniging Hogescholen,https://www.vereniginghogescholen.nl/english,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Netherlands,NL,Western Europe,,,
Udice - French Research Universities (France),Udice - French Research Universities,https://www.udice.org/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,,,
UiT - The Arctic University of Norway (Norway),UiT - The Arctic University of Norway,https://uit.no,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Norway,NO,Northern Europe,,,
UniLaSalle (France),UniLaSalle,https://www.unilasalle.fr/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/05wy89733,,
Universidad Autónoma Metropolitana (Mexico),Universidad Autónoma Metropolitana,https://www.uam.mx/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Mexico,MX,Latin America,https://ror.org/02kta5139,,
Universidad de Antioquia (Colombia),Universidad de Antioquia,https://www.udea.edu.co,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Colombia,CO,Latin America,https://ror.org/03bp5hc83,,
Universidad de Cádiz (Spain),Universidad de Cádiz,https://www.uca.es,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/04mxxkb11,,
Universidad de Granada (Spain),Universidad de Granada,https://www.ugr.es/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/04njjy449,,
Universidad Distrital Francisco José de Caldas (Colombia),Universidad Distrital Francisco José de Caldas,https://www.udistrital.edu.co/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Colombia,CO,Latin America,https://ror.org/02jsxd428,,
Universidad Pablo de Olavide (Spain),Universidad Pablo de Olavide,https://www.upo.es,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/02z749649,,
Universidad Rey Juan Carlos (Spain),Universidad Rey Juan Carlos,https://www.urjc.es,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/01v5cv687,,
Universidade do Minho (Portugal),Universidade do Minho,https://www.uminho.pt,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Portugal,PT,Southern Europe,https://ror.org/037wpkx04,,
Universidade Federal Fluminense (Brazil),Universidade Federal Fluminense,https://www.uff.br,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Brazil,BR,Latin America,https://ror.org/02rjhbb08,,
Universidade Lusófona (Portugal),Universidade Lusófona,https://www.ulusofona.pt/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Portugal,PT,Southern Europe,https://ror.org/05xxfer42,,
Università di Bologna (Italy),Università di Bologna,https://www.unibo.it,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Italy,IT,Southern Europe,https://ror.org/01111rn36,,
Universitat Autònoma de Barcelona (Spain),Universitat Autònoma de Barcelona,https://www.uab.cat,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/052g8jq94,,
Universitat de Barcelona (Spain),Universitat de Barcelona,https://ub.edu/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/021018s57,,
Universitat de Girona (Spain),Universitat de Girona,https://www.udg.edu/ca/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/01xdxns91,,
Universitat de Vic-Universitat Central de Catalunya (Spain),Universitat de Vic-Universitat Central de Catalunya,https://www.uvic.cat,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/006zjws59,,
Universitat Internacional de Catalunya (Spain),Universitat Internacional de Catalunya,https://www.uic.es/ca,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/00tse2b39,,
Universitat Politècnica de Catalunya (Spain),Universitat Politècnica de Catalunya,https://www.upc.edu,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/03mb6wj31,,
Universitat Pompeu Fabra Barcelona (Spain),Universitat Pompeu Fabra Barcelona,https://www.upf.edu/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/04n0g0b29,,
Universitat Ramon Llull (Spain),Universitat Ramon Llull,https://www.url.edu/ca,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/04p9k2z50,,
Universitat Rovira i Virgili (Spain),Universitat Rovira i Virgili,https://www.urv.cat,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/00g5sqv46,,
Université de Lorraine (France),Université de Lorraine,https://www.univ-lorraine.fr/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/04vfs2w97,,
Université de Reims Champagne-Ardenne (France),Université de Reims Champagne-Ardenne,https://www.univ-reims.fr/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/03hypw319,,
Université de Strasbourg (France),Université de Strasbourg,https://en.unistra.fr/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/00pg6eq24,,
Université Grenoble Alpes (France),Université Grenoble Alpes,https://www.univ-grenoble-alpes.fr/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/02rx3b187,,
Université Le Havre Normandie (France),Université Le Havre Normandie,https://www.univ-lehavre.fr,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/05v509s40,,
Université Paris Saclay (France),Université Paris Saclay,https://www.universite-paris-saclay.fr/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/03xjwb503,,
Université Toulouse 3 Paul Sabatier (France),Université Toulouse 3 Paul Sabatier,https://www.univ-tlse3.fr/home,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/02v6kpv12,,
Universities of the Netherlands - UNL (Netherlands),Universities of the Netherlands - UNL,https://www.universiteitenvannederland.nl/en,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Netherlands,NL,Western Europe,https://ror.org/05wvdt748,,
Information Society Development Institute - IDSI (Republic of Moldova),Information Society Development Institute - IDSI,https://idsi.md/en,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Republic of Moldova,MD,Eastern Europe,https://ror.org/00zkxn351,,
University of Amsterdam (Netherlands),University of Amsterdam,https://www.uva.nl/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Netherlands,NL,Western Europe,https://ror.org/04dkp9463,,
University of Bristol (United Kingdom),University of Bristol,https://www.bristol.ac.uk/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,United Kingdom,GB,Western Europe,https://ror.org/0524sp257,,
University of Coimbra (Portugal),University of Coimbra,https://www.uc.pt,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Portugal,PT,Southern Europe,https://ror.org/04z8k9a98,,
University of Göttingen (Germany),University of Göttingen,https://www.uni-goettingen.de/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Germany,DE,Western Europe,https://ror.org/01y9bpm73,,
University of Groningen (Netherlands),University of Groningen,https://www.rug.nl,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Netherlands,NL,Western Europe,https://ror.org/012p63287,,
University of Ss. Cyril and Methodius in Trnava (Slovakia),University of Ss. Cyril and Methodius in Trnava,https://www.ucm.sk/sk/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Slovakia,SK,Eastern Europe,https://ror.org/04xdyq509,,
University of Milan (Italy),University of Milan,https://www.unimi.it/it,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Italy,IT,Southern Europe,https://ror.org/00wjc7c48,,
University of Poitiers (France),University of Poitiers,https://www.univ-poitiers.fr/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/04xhy8q59,,
University of Maribor (Slovenia),University of Maribor,https://um.si,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Slovenia,SI,Eastern Europe,https://ror.org/01d5jce07,,
Institute of Higher Education of the National Academy of Educational Sciences of Ukraine (Ukraine),Institute of Higher Education of the National Academy of Educational Sciences of Ukraine,https://ihed.org.ua/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Ukraine,UA,Eastern Europe,https://ror.org/02rdthx75,,
University of the Azores (Portugal),University of the Azores,https://uac.pt/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Portugal,PT,Southern Europe,https://ror.org/04276xd64,,
University of the Balearic Islands (Spain),University of the Balearic Islands,https://www.uib.eu/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/03e10x626,,
University of Turku (Finland),University of Turku,https://www.utu.fi/en,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Finland,FI,Western Europe,https://ror.org/05vghhr25,,
University of Zurich (Switzerland),University of Zurich,https://www.uzh.ch,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Switzerland,CH,Western Europe,https://ror.org/02crff812,,
Utrecht University (Netherlands),Utrecht University,https://www.uu.nl,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Netherlands,NL,Western Europe,https://ror.org/04pp8hn57,,
Vrije Universiteit Amsterdam (Netherlands),Vrije Universiteit Amsterdam,https://www.vu.nl,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Netherlands,NL,Western Europe,https://ror.org/008xxew50,,
Young European Research Universities’ Network - YERUN (international),Young European Research Universities’ Network - YERUN,https://yerun.eu/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,international,,international,,,
ANRS MIE,ANRS MIE,https://anrs.fr/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,France,FR,Western Europe,https://ror.org/01kv58h76,,
Austrian Science Fund - FWF (Austria),Austrian Science Fund - FWF,https://www.fwf.ac.at/en/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Austria,AT,Western Europe,https://ror.org/013tf3c58,,
Bill & Melinda Gates Foundation (United States of America),Bill & Melinda Gates Foundation,https://openaccess.gatesfoundation.org/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,United States of America,US,North America,https://ror.org/0456r8d26,,
Catalan Foundation for Research and Innovation - FCRI (Spain),Catalan Foundation for Research and Innovation - FCRI,https://www.fundaciorecerca.cat,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Spain,ES,Southern Europe,https://ror.org/05kqre064,,
Dutch Research Council - NWO (Netherlands),Dutch Research Council - NWO,http://nwo.nl/en,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Netherlands,NL,Western Europe,https://ror.org/04jsz6e67,,
French National Research Agency - ANR (France),French National Research Agency - ANR,https://anr.fr/en/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,France,FR,Western Europe,https://ror.org/00rbzpz17,,
French Open Science Committee (France),French Open Science Committee,https://www.ouvrirlascience.fr,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,France,FR,Western Europe,,,
Fundació Internacional Josep Carreras (Spain),Fundació Internacional Josep Carreras,https://www.fcarreras.org,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Spain,ES,Southern Europe,https://ror.org/03e1n9x27,,
Fundación “la Caixa” (Spain),Fundación “la Caixa”,https://fundacionlacaixa.org/es/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Spain,ES,Southern Europe,,,
Fundación MenteClara Internacional (Argentina),Fundación MenteClara Internacional,https://fundacionmenteclara.org.ar/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Argentina,AR,Latin America,,,
Région Normandie (France),Région Normandie,https://www.normandie.fr/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,France,FR,Western Europe,https://ror.org/03cq89j92,,
Regione Emilia-Romagna (Italy),Regione Emilia-Romagna,https://www.regione.emilia-romagna.it,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Italy,IT,Southern Europe,https://ror.org/02k57f568,,
Regione Toscana (Italy),Regione Toscana,https://www.regione.toscana.it/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Italy,IT,Southern Europe,https://ror.org/02r6c6d62,,
Taskforce for Applied Research SIA (Netherlands),Taskforce for Applied Research SIA,https://regieorgaan-sia.nl/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Netherlands,NL,Western Europe,https://ror.org/03r6vqn56,,
Wellcome Trust (United Kingdom),Wellcome Trust,https://wellcome.org/,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,United Kingdom,GB,Western Europe,https://ror.org/029chgv08,,
ZonMw (Netherlands),ZonMw,https://www.zonmw.nl,Signatories,"Organizations performing, funding or evaluating research",Research funding organizations and governments,Netherlands,NL,Western Europe,https://ror.org/01yaj9a77,,
Consorci de Serveis Universitaris de Catalunya - CSUC (Spain),Consorci de Serveis Universitaris de Catalunya - CSUC,https://www.csuc.cat/en,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Spain,ES,Southern Europe,https://ror.org/007rty190,,
Data Observatory Foundation (Chile),Data Observatory Foundation,https://dataobservatory.net/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Chile,CL,Latin America,https://ror.org/027nn6b17,,
Deutsche Initiative für Netzwerkinformation e. V. - DINI (Germany),Deutsche Initiative für Netzwerkinformation e. V. - DINI,https://dini.de/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Germany,DE,Western Europe,https://ror.org/00zam7c12,,
Digital Competence Center for Practice-Oriented Research (Netherlands),Digital Competence Center for Practice-Oriented Research,https://dcc-po.nl/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Netherlands,NL,Western Europe,,,
Dutch Reproducibility Network - NLRN (Netherlands),Dutch Reproducibility Network - NLRN,https://reproducibilitynetwork.nl,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Netherlands,NL,Western Europe,,,
EOSC Association (international),EOSC Association,https://eosc.eu,Signatories,"Organizations performing, funding or evaluating research",Other organizations,international,,international,,,
Federation of Finnish Learned Societies - TSV (Finland),Federation of Finnish Learned Societies - TSV,http://www.tsv.fi,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Finland,FI,Western Europe,https://ror.org/02cdzet69,,
FIZ Karlsruhe - Leibniz Institute for Information Infrastructure (Germany),FIZ Karlsruhe - Leibniz Institute for Information Infrastructure,https://www.fiz-karlsruhe.de/en,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Germany,DE,Western Europe,https://ror.org/0387prb75,,
Fundación Openlab Ecuador (Ecuador),Fundación Openlab Ecuador,https://openlab.ec,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Ecuador,EC,Latin America,https://ror.org/05sfb6846,,
GO FAIR Brazil Health (Brazil),GO FAIR Brazil Health,https://portal.fiocruz.br/go-fair-brasil-saude,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Brazil,BR,Latin America,,,
Good Clinical Practice Alliance - GCPA (international),Good Clinical Practice Alliance - GCPA,https://www.gcpalliance.org,Signatories,"Organizations performing, funding or evaluating research",Other organizations,international,,international,,,
Hellenic Academic Libraries Link (Greece),Hellenic Academic Libraries Link,https://www.heal-link.gr/en/home-3/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Greece,GR,Southern Europe,,,
"KB, National library of the Netherlands (Netherlands)","KB, National library of the Netherlands",https://www.kb.nl/en,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Netherlands,NL,western Europe,https://ror.org/02w4jbg70,,
Latin American Council of Social Sciences - CLACSO (international),Latin American Council of Social Sciences - CLACSO,https://www.clacso.org/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,international,,international,https://ror.org/04dqdxv39,,
Leibniz Institute for Psychology - ZPID (Germany),Leibniz Institute for Psychology - ZPID,https://leibniz-psychology.org/en/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Germany,DE,Western Europe,https://ror.org/0165gz615,,
LIBER (international),LIBER,http://libereurope.eu,Signatories,"Organizations performing, funding or evaluating research",Other organizations,international,,international,https://ror.org/05emsba88,,
"National Open Research Analytics, Technical University of Denmark (Denmark)","National Open Research Analytics, Technical University of Denmark",https://forskningsportal.dk/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Denmark,DK,Western Europe,,,
Netherlands eScience Center,Netherlands eScience Center,https://www.esciencecenter.nl/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Netherlands,NL,Western Europe,https://ror.org/00rbjv475,,
Sage Bionetworks (United States of America),Sage Bionetworks,https://sagebionetworks.org,Signatories,"Organizations performing, funding or evaluating research",Other organizations,United States of America,US,North America,https://ror.org/049ncjx51,,
State Scientific and Technical Library of Ukraine (Ukraine),State Scientific and Technical Library of Ukraine,https://dntb.gov.ua/en/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Ukraine,UA,Eastern Europe,https://ror.org/019tz0c71,,
SURF (Netherlands),SURF,https://www.surf.nl/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Netherlands,NL,Western Europe,https://ror.org/009vhk114,,
Swiss Reproducibility Network - SwissRN (Switzerland),Swiss Reproducibility Network,https://www.swissrn.org/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Switzerland,CH,Western Europe,,,
TIB - Leibniz Information Centre for Science and Technology and University Library (Germany),TIB - Leibniz Information Centre for Science and Technology and University Library,https://www.tib.eu/en/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,Germany,DE,Western Europe,https://ror.org/04aj4c181,,
UK Reproducibility Network - UKRN (United Kingdom),UK Reproducibility Network - UKRN,https://www.ukrn.org/,Signatories,"Organizations performing, funding or evaluating research",Other organizations,United Kingdom,GB,Western Europe,https://ror.org/049czkm07,,
West and Central African Research and Education Network - WACREN (international),West and Central African Research and Education Network - WACREN,https://wacren.net,Signatories,"Organizations performing, funding or evaluating research",Other organizations,international,,international,https://ror.org/006rqpt26,,
Academy of Science of South Africa - ASSAf,Academy of Science of South Africa - ASSAf,https://www.assaf.org.za,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/02qsf1r97,,
Africa PID Alliance,Africa PID Alliance,https://africapidalliance.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
AmeliCA Ciencia Abierta,AmeliCA Ciencia Abierta,http://amelica.org/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Capitolo italiano di Creative Commons,Capitolo italiano di Creative Commons,https://creativecommons.it/chapterIT/,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Confederation of Open Access Repositories - COAR,Confederation of Open Access Repositories - COAR,https://www.coar-repositories.org,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
Crossref,Crossref,https://www.crossref.org,Supporters,"Organizations providing data, services and infrastructure",,,,,https://ror.org/02twcfp32,,
Curtin Open Knowledge Initiative - COKI,Curtin Open Knowledge Initiative - COKI,https://openknowledge.community,Supporters,"Organizations providing data, services and infrastructure",,,,,,,
