name,acronym,aliases,ror_id,ror_id_url,org_type,status,established_year,country_code,location_name,lat,lng,geonames_id,website_url,wikipedia_url,isni_id,wikidata_id,grid_id,fundref_id,viaf_id,ringgold_id,orgref_id,orgreg_id,rrid_id,linkedin_url,mag_id,ori_base_org,openalex_institution_id,openalex_institution_id_url,openaire_org_id,openaire_org_id_url,openaire_org_id_has_pending,openaire_org_id_pending,alei_id,pic_id,nbn_prefix,is_barcelona_signatory,is_duo_institute,duo_institution_code,duo_institute_type,duo_straatnaam,duo_huisnummer,duo_postcode,duo_plaatsnaam,is_surf_member,surf_member_type,is_ukb,is_shb,is_unl,is_umcnl,is_vh,is_knaw_institute,is_nwoi_institute,is_openaire_member
Ziekenhuis Bethesda,,,02hvsf428,https://ror.org/02hvsf428,healthcare,active,,NL,Hoogeveen,52.7225,6.47639,2753719,http://www.bethesda.nl/topmenu/over-bethesda/stichting-vrienden-van-ziekenhuis-bethesda,,,,grid.414459.9,,,,,,,,,False,I4210119634,https://openalex.org/I4210119634,openorgs____::40759c29226cf474c45deabe3f4a0508,https://explore.openaire.eu/search/organization?organizationId=openorgs____::40759c29226cf474c45deabe3f4a0508,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Elkerliek Ziekenhuis,,,01q750e89,https://ror.org/01q750e89,healthcare,active,1902.0,NL,Helmond,51.48167,5.66111,2754447,http://www.elkerliek.nl/Elkerliek,,0000000404096003,Q97458984,grid.414480.d,,,,,,,,,False,I4210114518,https://openalex.org/I4210114518,openorgs____::c5398845830320747f90e85a25f71427,https://explore.openaire.eu/search/organization?organizationId=openorgs____::c5398845830320747f90e85a25f71427,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Emma Kinderziekenhuis,EKZ,,00bmv4102,https://ror.org/00bmv4102,healthcare,active,1865.0,NL,Amsterdam,52.37403,4.88969,2759794,http://www.emmakids.nl/web/home.htm,,0000000405292508,Q5815672,grid.414503.7,,,,,,,,,False,I4210096594,https://openalex.org/I4210096594,openorgs____::b3f8316a75d81a999a61654d27502070,https://explore.openaire.eu/search/organization?organizationId=openorgs____::b3f8316a75d81a999a61654d27502070,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Ignatius Hospital,,,023r6xh67,https://ror.org/023r6xh67,healthcare,active,1922.0,NL,Breda,51.58656,4.77596,2758401,http://ignatiusziekenhuis.nl/,,0000000446871426,,grid.414549.9,,,,,,,,,False,I4210117191,https://openalex.org/I4210117191,openorgs____::34431869cd65af0d2fd7691bed9544bf,https://explore.openaire.eu/search/organization?organizationId=openorgs____::34431869cd65af0d2fd7691bed9544bf,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Juliana Kinderziekenhuis,,,047b5av97,https://ror.org/047b5av97,healthcare,active,1885.0,NL,The Hague,52.07667,4.29861,2747373,http://www.julianakinderziekenhuis.nl/,,,Q2262048,grid.414786.8,,,,,,,,,False,I4210145471,https://openalex.org/I4210145471,openorgs____::9af8055259e845c84d44cb791685ce8f,https://explore.openaire.eu/search/organization?organizationId=openorgs____::9af8055259e845c84d44cb791685ce8f,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Medisch Centrum Alkmaar,MCA,,04vccmr34,https://ror.org/04vccmr34,healthcare,active,1930.0,NL,Alkmaar,52.63167,4.74861,2759899,https://www.mca.nl/English/Patients-Visitors.aspx,,0000000403685519,,grid.414828.3,,,,,,,,,False,I4210157913,https://openalex.org/I4210157913,openorgs____::dc9b2c0be20a5d658a006ed9e6b85ddf,https://explore.openaire.eu/search/organization?organizationId=openorgs____::dc9b2c0be20a5d658a006ed9e6b85ddf,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Gelre Hospitals,,,05275vm15,https://ror.org/05275vm15,healthcare,active,1999.0,NL,Apeldoorn,52.21,5.96944,2759706,https://www.gelreziekenhuizen.nl/Gelreziekenhuizen,https://en.wikipedia.org/wiki/Gelre_Hospitals,0000000403704214,Q5530501,grid.415355.3,,,,,,,,2800996342,False,I2800996342,https://openalex.org/I2800996342,openorgs____::3d28ffe73a2ee62a325e4ba4c029acdf,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3d28ffe73a2ee62a325e4ba4c029acdf,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Streekziekenhuis Koningin Beatrix,SKB,,02vn5as77,https://ror.org/02vn5as77,healthcare,active,1984.0,NL,Winterswijk,51.9725,6.71944,2744332,http://www.skbwinterswijk.nl/&lang=de,,0000000405687286,Q15882419,grid.415484.8,,,,,,,,,False,I4210122377,https://openalex.org/I4210122377,openorgs____::d7e6d806cec63ace2adb4a647d0e535e,https://explore.openaire.eu/search/organization?organizationId=openorgs____::d7e6d806cec63ace2adb4a647d0e535e,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Reinier de Graaf Hospital,,,00wkhef66,https://ror.org/00wkhef66,healthcare,active,1966.0,NL,Delft,52.00667,4.35556,2757345,https://reinierdegraaf.nl/,,0000000406245690,,grid.415868.6,,,,47000559,,,,,False,I4210099110,https://openalex.org/I4210099110,openorgs____::6e1e359b40468348dc462a5e6d0d2f4c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::6e1e359b40468348dc462a5e6d0d2f4c,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Rijnland Ziekenhuis,,,05vc4qy60,https://ror.org/05vc4qy60,healthcare,active,1892.0,NL,Leiderdorp,52.15833,4.52917,2751771,https://www.rijnland.nl/,,0000000404197242,,grid.415925.e,,,,,,,,,False,I4210156209,https://openalex.org/I4210156209,openorgs____::2a6cc66ceb0fc0980c4678db62a411d0,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2a6cc66ceb0fc0980c4678db62a411d0,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Sint Lucas Andreas Hospital,,,016jc2h42,https://ror.org/016jc2h42,healthcare,active,1996.0,NL,Amsterdam,52.37403,4.88969,2759794,http://www.sintlucasandreasziekenhuis.nl/engels,,0000000403693324,,grid.415973.d,,,,47002131,,,,,False,I4210101132,https://openalex.org/I4210101132,openorgs____::0cb0b5dfe4abafb88abddda40cfd55dd,https://explore.openaire.eu/search/organization?organizationId=openorgs____::0cb0b5dfe4abafb88abddda40cfd55dd,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Trimbos Institute,,,02amggm23,https://ror.org/02amggm23,facility|funder,active,1996.0,NL,Utrecht,52.09083,5.12222,2745912,http://www.trimbos.org/,,0000000108358259,,grid.416017.5,501100003299,,,,,,,,False,I4210118716,https://openalex.org/I4210118716,openorgs____::be5a09d4c12d29681a6985dd892f9f44,https://explore.openaire.eu/search/organization?organizationId=openorgs____::be5a09d4c12d29681a6985dd892f9f44,True,pending_org_::81ccf88a4a1d6140eaede35e0801bb05,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Slotervaartziekenhuis,,MC Slotervaart,01w502745,https://ror.org/01w502745,healthcare,active,1976.0,NL,Amsterdam,52.37403,4.88969,2759794,http://www.slotervaartziekenhuis.nl/,https://en.wikipedia.org/wiki/Slotervaartziekenhuis,0000000403696840,Q3100901,grid.416050.6,,,,47000961,,,,,False,I2802065108,https://openalex.org/I2802065108,openorgs____::5a5bb250c300f2559b74cc823d533d9a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5a5bb250c300f2559b74cc823d533d9a,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Spaarne Ziekenhuis,,,0120mb525,https://ror.org/0120mb525,healthcare,active,1989.0,NL,Hoofddorp,52.3025,4.68889,2753801,http://www.spaarneziekenhuis.nl/,,0000000405686419,,grid.416219.9,,,,,,,,,False,I4210100082,https://openalex.org/I4210100082,openorgs____::a246b8c7dc06716086d9012c00dfed93,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a246b8c7dc06716086d9012c00dfed93,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
St Clara Hospital,,,05qfq7p37,https://ror.org/05qfq7p37,healthcare,active,1949.0,NL,Rotterdam,51.9225,4.47917,2747891,,,,,grid.416366.0,,,,,,,,,False,I4210157845,https://openalex.org/I4210157845,openorgs____::2d09a9dc14a72a96b9b117b382d671d2,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2d09a9dc14a72a96b9b117b382d671d2,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Elisabeth-TweeSteden Ziekenhuis,ETZ,,04gpfvy81,https://ror.org/04gpfvy81,healthcare,active,1982.0,NL,Tilburg,51.55551,5.0913,2746301,http://www.elisabeth.nl/,,,,grid.416373.4,,,,47002137,,,,,False,I4210149554,https://openalex.org/I4210149554,openorgs____::ce11a4e92d5cf66ba65cc0e1b5994daf,https://explore.openaire.eu/search/organization?organizationId=openorgs____::ce11a4e92d5cf66ba65cc0e1b5994daf,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
DDL Diagnostic Laboratory,DDL,,04xdr5k48,https://ror.org/04xdr5k48,facility,active,1985.0,NL,Voorburg,52.07417,4.35972,2745321,http://www.ddl.nl/,,,,grid.417770.2,,,,,,,,,False,I4210145914,https://openalex.org/I4210145914,openorgs____::6fcd6496e0091ea595018e0533c4a925,https://explore.openaire.eu/search/organization?organizationId=openorgs____::6fcd6496e0091ea595018e0533c4a925,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Zaans Medisch Centrum,ZMC,,0331x8t04,https://ror.org/0331x8t04,healthcare,active,1905.0,NL,Zaandam,52.43854,4.82643,2744118,https://www.zaansmedischcentrum.nl/,,0000000405012983,Q2678979,grid.417773.1,,,,,,,,,False,I4210127060,https://openalex.org/I4210127060,openorgs____::ef5e6bbc2aedb65c02ab222bbb3e5c7c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::ef5e6bbc2aedb65c02ab222bbb3e5c7c,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Association of Dutch Burn Centres,ADBC,,02wcc5n95,https://ror.org/02wcc5n95,other,active,2003.0,NL,Beverwijk,52.48333,4.65694,2758998,http://www.adbc.nl/en/,,,,grid.418147.f,,,,,,,,,False,I4210125241,https://openalex.org/I4210125241,openorgs____::1d8fdf2535fe4b1aacb3f3b74fe01228,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1d8fdf2535fe4b1aacb3f3b74fe01228,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Graduate School Neurosciences Amsterdam Rotterdam,ONWAR,,0449h4696,https://ror.org/0449h4696,education,active,,NL,Amsterdam,52.37403,4.88969,2759794,http://www.onwar.nl/,,,,grid.418293.5,,,,,,,,,False,I4210149954,https://openalex.org/I4210149954,openorgs____::aab11a129a2ad01a645dd573c43c837d,https://explore.openaire.eu/search/organization?organizationId=openorgs____::aab11a129a2ad01a645dd573c43c837d,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Stryker (Netherlands),,,02nwyam20,https://ror.org/02nwyam20,company,active,1946.0,NL,Amsterdam,52.37403,4.88969,2759794,http://www.stryker.com/nl/index.htm,https://en.wikipedia.org/wiki/Stryker_Corporation,0000000406254722,,grid.487436.a,,,,,,,,,False,I4210121306,https://openalex.org/I4210121306,openorgs____::99fb41daeec050888a1ff65c032a29de,https://explore.openaire.eu/search/organization?organizationId=openorgs____::99fb41daeec050888a1ff65c032a29de,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Boehringer Ingelheim (Netherlands),,,04fh1gw55,https://ror.org/04fh1gw55,company,active,1885.0,NL,Alkmaar,52.63167,4.74861,2759899,https://www.boehringer-ingelheim.nl/,https://en.wikipedia.org/wiki/Boehringer_Ingelheim,,Q43896094,grid.488220.4,,,,,,,,,False,I4210150011,https://openalex.org/I4210150011,openorgs____::75d24deacdf417456f5add2265c1349d,https://explore.openaire.eu/search/organization?organizationId=openorgs____::75d24deacdf417456f5add2265c1349d,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Allergan (Netherlands),,Actavis,020j24g35,https://ror.org/020j24g35,company,active,1983.0,NL,Eindhoven,51.44083,5.47778,2756253,https://www.allergan.nl,https://en.wikipedia.org/wiki/Allergan,,,grid.488252.1,,,,,,,,,False,I4210114387,https://openalex.org/I4210114387,openorgs____::a744fa487ab34870743c38064303f960,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a744fa487ab34870743c38064303f960,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Militaire Geestelijke Gezondheidszorg,MGGZ,,00xnymf93,https://ror.org/00xnymf93,healthcare,active,,NL,'s-Hertogenbosch,51.69917,5.30417,2747351,http://www.lzv-groep.nl/action/institutions/institution/7/militaire-geestelijke-gezondheidszorg/,,,,grid.488605.7,,,,,,,,,False,I4210096285,https://openalex.org/I4210096285,openorgs____::cb4aa0b3161b6f25d0c3f7baabcfc872,https://explore.openaire.eu/search/organization?organizationId=openorgs____::cb4aa0b3161b6f25d0c3f7baabcfc872,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Art Innovation (Netherlands),,,02g21hc40,https://ror.org/02g21hc40,company,active,,NL,Hengelo,52.26583,6.79306,2754394,http://www.art-innovation.nl/,,,,grid.479661.b,,,,,,,,,False,I4210116895,https://openalex.org/I4210116895,openorgs____::76a335b264e991bde9f4398fca0e290d,https://explore.openaire.eu/search/organization?organizationId=openorgs____::76a335b264e991bde9f4398fca0e290d,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Kempenhaeghe,,,03bbe8e53,https://ror.org/03bbe8e53,healthcare,active,1919.0,NL,Heeze,51.3828,5.57145,2754618,https://www.kempenhaeghe.nl/,,0000000404095115,,grid.479666.c,,,,,,,,,False,I4210132398,https://openalex.org/I4210132398,openorgs____::11ccda5cd80ccffdfc362029f157d4dd,https://explore.openaire.eu/search/organization?organizationId=openorgs____::11ccda5cd80ccffdfc362029f157d4dd,False,,,965372228,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
International Association for the Evaluation of Educational Achievement,IEA,,00n789a42,https://ror.org/00n789a42,funder|nonprofit,active,1958.0,NL,Amsterdam,52.37403,4.88969,2759794,http://www.iea.nl/,https://en.wikipedia.org/wiki/International_Association_for_the_Evaluation_of_Educational_Achievement,0000000123530774,,grid.479957.1,501100008543,,,,,,,,False,I4210101428,https://openalex.org/I4210101428,openorgs____::4b7a2e3d1b3a92df577b64fb9edd48b4,https://explore.openaire.eu/search/organization?organizationId=openorgs____::4b7a2e3d1b3a92df577b64fb9edd48b4,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Dolby (Netherlands),,Dolby Labs,02kb3q578,https://ror.org/02kb3q578,company,active,1965.0,NL,Amsterdam,52.37403,4.88969,2759794,https://www.dolby.com/us/en/about/contact-us/dolby-offices-worldwide.html,https://en.wikipedia.org/wiki/Dolby_Laboratories,,,grid.480107.a,,,,,,,,116121188,False,I116121188,https://openalex.org/I116121188,openorgs____::5401f67b7f0c60eb05ad7aa516f78b59,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5401f67b7f0c60eb05ad7aa516f78b59,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Prysmian Group (Netherlands),,,035vrvw61,https://ror.org/035vrvw61,company,active,2011.0,NL,Amsterdam,52.37403,4.88969,2759794,http://www.prysmiangroup.com/en/,https://en.wikipedia.org/wiki/Prysmian_Group,,Q30338296,grid.480126.9,,,,,,,,,False,I4210128213,https://openalex.org/I4210128213,openorgs____::fd5270f783107ac1ddadfa4f24017f41,https://explore.openaire.eu/search/organization?organizationId=openorgs____::fd5270f783107ac1ddadfa4f24017f41,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Hunter Douglas (Netherlands),,,033z8qs97,https://ror.org/033z8qs97,company,active,1919.0,NL,Rotterdam,51.9225,4.47917,2747891,https://www.hunterdouglas.com/,https://en.wikipedia.org/wiki/Hunter_Douglas,0000000404509613,Q30272316,grid.480165.e,,,,,,,,,False,I4210135299,https://openalex.org/I4210135299,openorgs____::42537a84e83b6f5189924accdb07d718,https://explore.openaire.eu/search/organization?organizationId=openorgs____::42537a84e83b6f5189924accdb07d718,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Hewlett-Packard (Netherlands),HP,,020fcst87,https://ror.org/020fcst87,company,active,1939.0,NL,Amstelveen,52.30083,4.86389,2759798,http://www8.hp.com/nl/nl/home.html,https://en.wikipedia.org/wiki/Hewlett-Packard,,Q30338716,grid.480193.7,,,,,,,,,False,I4210111284,https://openalex.org/I4210111284,openorgs____::6be97897df0c022468062bc39b24bb89,https://explore.openaire.eu/search/organization?organizationId=openorgs____::6be97897df0c022468062bc39b24bb89,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Huisman (Netherlands),,Itrec Bv,0372zyg05,https://ror.org/0372zyg05,company,active,1929.0,NL,Schiedam,51.91917,4.38889,2747596,http://www.huismanequipment.com/,,,,grid.480197.3,,,,,,,,,False,I4210129685,https://openalex.org/I4210129685,openorgs____::a0475c38ed8af9806c7576ab7d6053f6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a0475c38ed8af9806c7576ab7d6053f6,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Lely (Netherlands),,,03yg75p21,https://ror.org/03yg75p21,company,active,1948.0,NL,Maassluis,51.92333,4.25,2751285,https://www.lely.com/,,,,grid.480254.f,,,,,,,,,False,I4210131716,https://openalex.org/I4210131716,openorgs____::1b5e44e1ab226da5353c62fd6a679288,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1b5e44e1ab226da5353c62fd6a679288,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Reckitt Benckiser (Netherlands),RB,,00647p549,https://ror.org/00647p549,company,active,1814.0,NL,Hoofddorp,52.3025,4.68889,2753801,https://www.rb.com/,https://en.wikipedia.org/wiki/Reckitt_Benckiser,,,grid.480348.3,,,,,,,,51036467,False,I51036467,https://openalex.org/I51036467,openorgs____::caf6e92671c856b3cc80ccac3b84e23b,https://explore.openaire.eu/search/organization?organizationId=openorgs____::caf6e92671c856b3cc80ccac3b84e23b,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Jacobs Douwe Egberts (Netherlands),JDE,,03n2fp057,https://ror.org/03n2fp057,company,active,2015.0,NL,Amsterdam,52.37403,4.88969,2759794,https://www.jacobsdouweegberts.com/,https://en.wikipedia.org/wiki/Jacobs_Douwe_Egberts,,,grid.480365.c,,,,,,,,,False,I4210144040,https://openalex.org/I4210144040,openorgs____::3156e71ebde3e9b63ab4766bf1a8cad0,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3156e71ebde3e9b63ab4766bf1a8cad0,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Maire Tecnimont (Netherlands),,,04cv1dy58,https://ror.org/04cv1dy58,company,active,2005.0,NL,Geleen,50.97417,5.82917,2755616,http://www.mairetecnimont.com/en,https://en.wikipedia.org/wiki/Maire_Tecnimont,,,grid.480393.5,,,,,,,,,False,I4210130190,https://openalex.org/I4210130190,openorgs____::348d25a114b8add5969456c8d4e37d3c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::348d25a114b8add5969456c8d4e37d3c,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Wavin (Netherlands),,,01na6q190,https://ror.org/01na6q190,company,active,1955.0,NL,Zwolle,52.5125,6.09444,2743477,http://www.wavin.com/,https://en.wikipedia.org/wiki/Wavin,000000040598765X,,grid.480467.9,,,,,,,,,False,I4210109917,https://openalex.org/I4210109917,openorgs____::8cd460d7534615f6ab3056ab893fde3b,https://explore.openaire.eu/search/organization?organizationId=openorgs____::8cd460d7534615f6ab3056ab893fde3b,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Landsteiner Foundation for Blood Transfusion Research,LSBR,,05emg8z25,https://ror.org/05emg8z25,funder|other,active,1948.0,NL,Haarlem,52.38084,4.63683,2755003,http://www.lsbr.nl/,,0000000459063671,,grid.480568.7,100009425,,,,,,,,False,I4210164037,https://openalex.org/I4210164037,openorgs____::7f2d085de584685be638c896dc66d95f,https://explore.openaire.eu/search/organization?organizationId=openorgs____::7f2d085de584685be638c896dc66d95f,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Ministry of Foreign Affairs,,,03rx2ty86,https://ror.org/03rx2ty86,funder|government,active,1798.0,NL,The Hague,52.07667,4.29861,2747373,https://www.government.nl/ministries/ministry-of-foreign-affairs,,0000000403957297,,grid.480815.0,501100007729,,,,,,,1331531167,False,I4210146091,https://openalex.org/I4210146091,openorgs____::ca91ed76e742ea58ad916435f39472e7,https://explore.openaire.eu/search/organization?organizationId=openorgs____::ca91ed76e742ea58ad916435f39472e7,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
Dutch Blood Transfusion Society,NVB,,00kan3777,https://ror.org/00kan3777,funder|other,active,1978.0,NL,Amsterdam,52.37403,4.88969,2759794,http://www.nvbtransfusie.nl/,,0000000460662938,Q30272722,grid.480851.0,501100007460,,,,,,,,False,I4210093180,https://openalex.org/I4210093180,openorgs____::690d16ecd95668fe044ff20b64d899c5,https://explore.openaire.eu/search/organization?organizationId=openorgs____::690d16ecd95668fe044ff20b64d899c5,False,,,,,False,False,,,,,,,False,,False,False,False,False,False,False,False,False
